anno_names	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
K20038  cutC; choline trimethylamine-lyase [EC:4.3.99.4]	887.072848980676	-7.46654179212794	0.431174701010962	-17.3167437111254	3.51704867730121e-67	2.74962865591409e-63
K00656  E2.3.1.54, pflD; formate C-acetyltransferase [EC:2.3.1.54]	1784.16639096211	-6.89522541761104	0.407510062066308	-16.9203807696142	3.18365588339469e-64	1.24449108481899e-60
K14647  vpr; minor extracellular serine protease Vpr [EC:3.4.21.-]	346.94296169826	-5.52840316538362	0.345099952999162	-16.0197157876664	9.30747173869551e-58	2.42552713510405e-54
K12528  xdhD; putative selenate reductase molybdopterin-binding subunit	214.848251556105	-6.34246349012146	0.415161289215154	-15.2771071265137	1.08658227732643e-52	2.12372506103451e-49
K07037  pgpH; cyclic-di-AMP phosphodiesterase PgpH [EC:3.1.4.-]	888.603778042724	-3.31703029019811	0.217459525308912	-15.2535525196521	1.55914272261304e-52	2.43787556107774e-49
K16153  K16153; glycogen phosphorylase/synthase [EC:2.4.1.1 2.4.1.11]	825.036823355532	-6.14316250856365	0.415233602267912	-14.7944734602669	1.59023894084275e-49	2.0720813399181e-46
K00879  fucK; L-fuculokinase [EC:2.7.1.51]	267.797524953912	-5.52348753271294	0.387801022710046	-14.2430968699193	4.94845939757934e-46	5.52672222432504e-43
K05919  dfx; superoxide reductase [EC:1.15.1.2]	257.751053074254	-6.7479174647173	0.483144360186405	-13.9666692210043	2.49002345265813e-44	2.43337541911016e-41
K00691  mapA; maltose phosphorylase [EC:2.4.1.8]	1415.04157382999	-5.35811926205664	0.388673916058749	-13.7856414868003	3.10989826123007e-43	2.70146495625519e-40
K03738  aor; aldehyde:ferredoxin oxidoreductase [EC:1.2.7.5]	2977.41690859598	-5.17627102282928	0.384327258713377	-13.4683942017488	2.4002952231916e-41	1.87655080549119e-38
K07017  K07017; uncharacterized protein	626.53460493084	-3.4440751941719	0.255953915662108	-13.4558410066229	2.84483990552646e-41	2.02190530740054e-38
K21573  susC; TonB-dependent starch-binding outer membrane protein SusC	295.245493266005	-7.01025970334675	0.52584931074276	-13.3313091034479	1.5220318002433e-40	9.91603717858512e-38
K06928  NTPCR; nucleoside-triphosphatase [EC:3.6.1.15]	361.079319699194	-8.31337501010282	0.6333416588147	-13.1262090443589	2.33033583484316e-39	1.40142811975414e-36
K00844  HK; hexokinase [EC:2.7.1.1]	184.553585161756	-7.08470658481686	0.544681328194677	-13.0070671016002	1.11541465204721e-38	6.22879410693223e-36
K00949  thiN, TPK1, THI80; thiamine pyrophosphokinase [EC:2.7.6.2]	259.225804471985	-3.95160656643682	0.319012815609639	-12.3869837607785	3.07388717067851e-35	1.60210999335764e-32
K13380  nuoBCD; NADH-quinone oxidoreductase subunit B/C/D [EC:7.1.1.2]	323.557054798456	-6.42052544154624	0.518721077962019	-12.3776066065631	3.45492712303814e-35	1.68816376549451e-32
