KO_name	ko	ID11_1	ID12_1	ID13_1	ID14_1	ID15_1	ID17_1	ID18_1	ID19_1	ID20_1	ID21_1	ID22_1	ID23_1	ID24_1	ID25_1	ID26_1	ID27_1	ID28_1	ID29_1	ID30_1	ID31_1	ID32_1	ID33_1	ID34_1	ID35_1	ID36_1	ID37_1	ID38_1
K00001  E1.1.1.1, adh; alcohol dehydrogenase [EC:1.1.1.1]	K00001	1795	2026	753	6983	1592	921	9366	782	4914	3463	1982	7217	19931	5191	2039	2416	7770	5185	6499	994	2432	2908	2980	1134	1587	2034	1325
K00002  AKR1A1, adh; alcohol dehydrogenase (NADP+) [EC:1.1.1.2]	K00002	101	63	33	165	44	49	204	55	114	153	133	154	1703	141	205	159	1281	393	1999	28	329	290	128	90	132	131	49
K00003  hom; homoserine dehydrogenase [EC:1.1.1.3]	K00003	758	1187	275	3393	753	467	5010	344	2102	1754	1975	3668	19390	2454	2187	1525	7276	2444	8383	550	3377	3745	2313	1399	1477	1741	1824
K00004  BDH, butB; (R,R)-butanediol dehydrogenase / meso-butanediol dehydrogenase / diacetyl reductase [EC:1.1.1.4 1.1.1.- 1.1.1.303]	K00004	363	452	108	1675	330	110	2137	179	1417	697	515	1652	4327	798	436	504	1063	1090	810	219	457	1172	621	289	495	767	451
K00005  gldA; glycerol dehydrogenase [EC:1.1.1.6]	K00005	21	18	3	44	8	0	62	34	57	41	73	169	902	74	99	106	308	223	353	40	120	92	85	42	60	42	48
K00006  GPD1; glycerol-3-phosphate dehydrogenase (NAD+) [EC:1.1.1.8]	K00006	23	0	7	1	7	10	5	4	0	2	4	0	9	1	0	0	0	12	0	0	1	0	17	1	4	0	1
K00007  dalD; D-arabinitol 4-dehydrogenase [EC:1.1.1.11]	K00007	7	0	1	0	1	0	0	2	0	2	2	4	75	6	7	1	49	15	69	1	7	6	3	1	2	6	7
K00008  SORD, gutB; L-iditol 2-dehydrogenase [EC:1.1.1.14]	K00008	1356	2153	543	5756	1153	703	6937	583	3846	2321	2797	3087	21745	2558	2488	1925	8530	3993	9678	640	2774	3937	2869	1422	1496	1855	1347
K00009  mtlD; mannitol-1-phosphate 5-dehydrogenase [EC:1.1.1.17]	K00009	9	43	9	89	6	6	21	8	106	111	552	239	3573	195	510	5	456	27	520	44	215	420	433	167	177	188	163
K00010  iolG; myo-inositol 2-dehydrogenase / D-chiro-inositol 1-dehydrogenase [EC:1.1.1.18 1.1.1.369]	K00010	391	689	99	1205	162	121	1430	215	1289	782	412	700	4228	582	383	478	2626	1185	3376	233	588	533	544	188	271	440	272
K00011  AKR1B; aldehyde reductase [EC:1.1.1.21]	K00011	34	62	27	24	39	20	10	21	29	60	3	156	50	143	3	34	0	51	0	13	20	11	6	0	8	27	10
K00012  UGDH, ugd; UDPglucose 6-dehydrogenase [EC:1.1.1.22]	K00012	1958	2099	735	5772	1608	1090	8057	863	4784	3302	2615	4894	20433	3582	2468	2967	8572	4876	9747	820	2983	3676	2281	1303	1614	2084	1589
K00013  hisD; histidinol dehydrogenase [EC:1.1.1.23]	K00013	637	1198	197	2624	675	280	4239	243	1514	1369	1670	2951	14797	1819	1812	986	6274	1632	7597	431	2382	3075	1864	1004	1285	1306	1134
K00014  aroE; shikimate dehydrogenase [EC:1.1.1.25]	K00014	334	475	122	1237	377	98	2211	153	546	663	954	2258	9060	1258	1126	461	2489	1153	3262	298	1194	2102	1170	686	735	926	807
K00015  gyaR, GOR1; glyoxylate reductase [EC:1.1.1.26]	K00015	449	375	213	1085	438	227	2186	126	725	463	610	1406	6691	539	670	321	2193	677	2959	208	449	1046	767	375	485	576	268
K00016  LDH, ldh; L-lactate dehydrogenase [EC:1.1.1.27]	K00016	206	749	33	897	348	31	992	80	471	503	833	867	5849	721	790	307	2727	660	2451	210	1035	1360	945	428	500	546	668
K00018  hprA; glycerate dehydrogenase [EC:1.1.1.29]	K00018	312	445	85	1221	238	123	1459	151	680	784	219	1328	1601	891	218	378	986	795	779	217	400	732	293	218	272	447	146
K00019  BDH1, bdhA; 3-hydroxybutyrate dehydrogenase [EC:1.1.1.30]	K00019	237	383	81	936	232	99	1431	90	479	672	136	1832	571	927	66	384	268	563	386	173	327	280	120	71	170	363	89
K00020  HIBADH, mmsB; 3-hydroxyisobutyrate dehydrogenase [EC:1.1.1.31]	K00020	1635	2037	437	5736	1233	658	8694	651	3298	3275	719	6453	5001	3954	520	2304	2043	3823	2770	692	1388	1900	920	488	966	1568	575
K00021  HMGCR; hydroxymethylglutaryl-CoA reductase (NADPH) [EC:1.1.1.34]	K00021	41	18	28	26	48	31	142	38	74	120	347	265	3311	168	378	32	1468	180	1597	42	55	417	238	218	212	91	106
K00022  HADH; 3-hydroxyacyl-CoA dehydrogenase [EC:1.1.1.35]	K00022	69	86	102	622	59	52	686	27	161	159	3	23	53	21	1	76	2	132	0	0	1	0	0	0	9	0	0
K00023  phbB; acetoacetyl-CoA reductase [EC:1.1.1.36]	K00023	307	423	73	1306	387	110	1665	151	746	1040	107	1515	1410	1359	152	691	170	1059	158	131	171	344	143	116	200	394	88
K00024  mdh; malate dehydrogenase [EC:1.1.1.37]	K00024	680	1252	295	2828	856	314	3641	240	1661	1068	936	2493	10806	1787	1146	912	5076	1749	6052	411	1744	1982	1081	596	762	905	846
K00026  MDH2; malate dehydrogenase [EC:1.1.1.37]	K00026	26	0	8	0	3	12	15	5	0	0	0	0	1	0	0	1	0	10	0	0	1	0	0	0	3	0	0
K00027  ME2, sfcA, maeA; malate dehydrogenase (oxaloacetate-decarboxylating) [EC:1.1.1.38]	K00027	989	1310	179	4127	750	276	6272	390	1792	2152	1926	2832	15830	2320	1914	1407	7839	3276	8694	463	1878	2996	2121	989	1178	1569	1209
K00028  E1.1.1.39; malate dehydrogenase (decarboxylating) [EC:1.1.1.39]	K00028	0	0	0	0	0	0	0	0	0	0	0	1	17	1	1	0	5	0	1	0	0	0	0	0	0	0	0
K00029  E1.1.1.40, maeB; malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+) [EC:1.1.1.40]	K00029	631	663	299	2502	413	299	4211	214	1468	2049	1885	6209	15481	4645	1832	907	4242	1592	3071	927	2257	3561	1869	1138	1333	1809	1465
K00030  IDH3; isocitrate dehydrogenase (NAD+) [EC:1.1.1.41]	K00030	456	683	245	1715	371	256	2624	188	1086	633	761	938	5350	927	717	598	1982	1065	2325	210	890	1157	821	423	499	470	357
K00031  IDH1, IDH2, icd; isocitrate dehydrogenase [EC:1.1.1.42]	K00031	750	1241	329	3569	485	389	4778	298	2105	1347	1894	3323	14010	2440	1830	1225	4964	1995	6095	488	1555	2861	1844	944	1104	1399	929
K00032  E1.1.1.43; phosphogluconate 2-dehydrogenase [EC:1.1.1.43]	K00032	0	0	0	2	0	0	8	0	0	0	4	24	9	3	1	0	0	0	0	20	0	11	1	5	0	18	0
K00033  PGD, gnd, gntZ; 6-phosphogluconate dehydrogenase [EC:1.1.1.44 1.1.1.343]	K00033	1112	2047	407	4547	979	567	5632	468	2743	2068	2202	4032	17752	3301	2425	1673	8411	3486	10017	586	2800	3342	2377	1150	1367	1746	1268
K00034  gdh; glucose 1-dehydrogenase [EC:1.1.1.47]	K00034	243	842	111	1626	218	167	1352	142	995	440	163	821	1608	603	196	435	444	966	703	114	203	261	164	88	178	218	96
K00035  gal; D-galactose 1-dehydrogenase [EC:1.1.1.48]	K00035	22	29	25	13	36	11	1	19	27	17	10	30	111	45	11	10	54	68	112	2	87	15	6	4	4	17	6
K00036  G6PD, zwf; glucose-6-phosphate 1-dehydrogenase [EC:1.1.1.49 1.1.1.363]	K00036	2968	3547	1177	8881	3108	1614	13019	1206	6244	4484	2675	7075	22116	6093	2923	3653	10732	7610	12957	993	2996	4526	2960	1524	2060	2418	1551
K00038  E1.1.1.53; 3alpha(or 20beta)-hydroxysteroid dehydrogenase [EC:1.1.1.53]	K00038	118	99	42	626	183	46	757	33	480	349	42	376	232	295	26	127	108	160	185	88	82	108	60	21	53	90	37
K00039  rbtD; ribitol 2-dehydrogenase [EC:1.1.1.56]	K00039	14	0	9	3	2	2	12	5	0	10	7	42	79	14	14	4	41	18	52	1	7	37	8	12	9	20	5
K00040  uxuB; fructuronate reductase [EC:1.1.1.57]	K00040	364	190	57	359	355	58	1004	189	262	163	80	363	1054	278	156	379	763	920	589	37	177	394	114	154	126	154	90
K00041  uxaB; tagaturonate reductase [EC:1.1.1.58]	K00041	28	140	25	254	18	18	115	8	109	11	83	123	806	176	123	21	303	112	320	24	130	254	158	118	77	77	71
K00042  garR, glxR; 2-hydroxy-3-oxopropionate reductase [EC:1.1.1.60]	K00042	486	593	256	1678	377	251	2325	161	1036	944	452	1843	3698	1588	360	682	1696	863	2301	281	815	1079	476	273	394	495	300
K00043  gbd; 4-hydroxybutyrate dehydrogenase [EC:1.1.1.61]	K00043	289	161	171	898	384	207	702	147	640	197	679	1492	5343	1231	546	280	2510	994	1580	323	457	364	1133	131	309	325	201
K00044  HSD17B1; 17beta-estradiol 17-dehydrogenase [EC:1.1.1.62]	K00044	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0
K00045  E1.1.1.67, mtlK; mannitol 2-dehydrogenase [EC:1.1.1.67]	K00045	330	278	60	599	302	67	792	179	123	383	346	277	1838	186	319	375	350	956	298	33	129	307	261	142	122	191	113
K00046  idnO; gluconate 5-dehydrogenase [EC:1.1.1.69]	K00046	764	845	225	2265	666	360	3210	368	1307	1414	820	2048	6467	1357	794	1025	2321	2092	3018	287	1304	1225	1058	430	582	757	388
K00048  fucO; lactaldehyde reductase [EC:1.1.1.77]	K00048	6	8	3	2	10	5	2	13	1	5	292	32	1399	105	280	2	5	10	2	13	69	332	262	162	133	70	81
