# number of annotations: 3390
# number of IDs: 27
# %sparse: 19.57

# the sum and mean counts per row
                  sum     mean
2.7.11.1    551358.96 20420.70
2.7.13.3    427147.47 15820.28
1.6.5.3     412084.65 15262.39
2.7.7.7     331468.89 12276.63
3.6.4.12    325046.98 12038.78
3.4.16.4    191797.04  7103.59
3.2.1.21    175923.62  6515.69
3.2.1.23    158207.24  5859.53
2.7.7.6     141461.25  5239.31
6.2.1.3     128431.15  4756.71
3.2.1.4     128204.35  4748.31
5.2.1.8     125756.49  4657.65
2.1.1.72    116647.70  4320.29
1.9.3.1     110039.04  4075.52
2.7.7.49    109000.49  4037.06
2.1.1.80     98579.26  3651.08
3.6.3.12     98365.16  3643.15
3.1.3.3      97196.51  3599.87
5.99.1.3     94419.96  3497.04
3.1.1.61     93455.90  3461.33
3.1.21.3     92557.20  3428.04
1.4.1.13     90657.52  3357.69
1.4.1.14     90657.52  3357.69
2.2.1.6      89166.06  3302.45
5.1.3.2      85468.37  3165.50
1.1.1.100    84097.47  3114.72
3.4.21.53    83125.49  3078.72
3.2.1.51     83123.94  3078.66
6.3.5.4      82735.37  3064.27
2.4.1.129    81270.64  3010.02
6.3.5.7      80956.51  2998.39
1.8.98.5     79943.31  2960.86
2.4.1.1      76885.01  2847.59
6.3.5.6      76664.08  2839.41
2.2.1.1      76503.29  2833.46
6.3.5.5      75892.89  2810.85
1.1.1.1      73800.42  2733.35
4.6.1.1      73621.90  2726.74
3.4.21.107   73205.05  2711.30
1.2.5.3      72911.38  2700.42
1.2.7.3      72175.77  2673.18
3.2.1.22     71001.44  2629.68
3.6.3.14     70256.49  2602.09
3.6.3.6      69928.25  2589.94
1.2.7.1      69336.20  2568.01
1.2.4.1      69238.67  2564.40
2.1.1.13     68886.29  2551.34
3.6.4.13     66752.73  2472.32
5.99.1.2     66595.81  2466.51
1.8.1.9      66150.01  2450.00
1.2.7.11     65287.37  2418.05
1.8.7.3      64693.09  2396.04
3.4.21.102   64149.88  2375.92
1.8.98.6     64004.09  2370.52
3.6.3.54     63367.02  2346.93
3.2.1.20     62393.17  2310.86
6.2.1.1      61555.55  2279.84
1.8.98.4     60757.14  2250.26
3.2.1.52     60315.12  2233.89
1.17.4.1     60294.33  2233.12
6.5.1.1      59945.63  2220.21
6.1.1.20     59581.06  2206.71
1.17.1.9     59266.91  2195.07
1.17.1.4     59091.18  2188.56
3.2.1.177    57996.44  2148.02
2.3.1.9      57900.11  2144.45
3.2.1.55     57644.31  2134.97
2.8.1.7      57327.97  2123.26
6.4.1.2      56169.06  2080.34
6.3.5.3      56165.65  2080.21
6.1.1.5      55499.88  2055.55
