# number of annotations: 3391
# number of IDs: 27
# %sparse: 19.56

# the sum and mean counts per row
                    sum       mean
enzyme                            
Unclassified  195809787 7252214.33
2.7.11.1        1348431   49941.89
1.6.5.3         1251422   46348.96
2.7.13.3        1162237   43045.81
2.7.7.7         1028564   38094.96
3.6.4.12         984282   36454.89
3.4.16.4         563672   20876.74
3.2.1.21         522551   19353.74
3.2.1.23         520153   19264.93
2.7.7.6          458994   16999.78
2.1.1.72         429433   15904.93
3.2.1.4          383999   14222.19
5.2.1.8          368212   13637.48
6.2.1.3          357637   13245.81
3.1.21.3         342272   12676.74
3.6.3.12         313184   11599.41
2.7.7.49         312297   11566.56
5.99.1.3         288702   10692.67
1.8.98.5         287430   10645.56
1.9.3.1          284218   10526.59
1.4.1.13         278226   10304.67
1.4.1.14         278226   10304.67
3.2.1.51         269194    9970.15
2.1.1.80         268577    9947.30
3.1.3.3          264594    9799.78
2.2.1.6          259133    9597.52
5.1.3.2          255329    9456.63
3.1.1.61         252783    9362.33
3.4.21.53        247931    9182.63
6.3.5.7          242924    8997.19
6.3.5.5          242434    8979.04
2.4.1.129        236447    8757.30
3.6.3.6          236061    8743.00
2.2.1.1          234524    8686.07
1.8.7.3          234425    8682.41
1.2.7.1          233159    8635.52
1.8.98.6         229519    8500.70
1.1.1.100        229292    8492.30
3.2.1.22         229286    8492.07
2.4.1.1          228257    8453.96
1.2.7.3          226337    8382.85
6.3.5.4          226034    8371.63
6.3.5.6          225124    8337.93
3.6.3.14         216861    8031.89
1.8.98.4         216764    8028.30
3.4.21.107       213821    7919.30
2.1.1.13         210541    7797.81
1.1.1.1          207610    7689.26
5.99.1.2         206489    7647.74
3.6.3.54         205263    7602.33
1.2.7.11         203740    7545.93
1.2.5.3          201440    7460.74
4.6.1.1          199289    7381.07
3.6.4.13         191353    7087.15
3.4.21.102       190826    7067.63
6.1.1.20         187171    6932.26
1.2.4.1          186899    6922.19
3.2.1.20         186114    6893.11
2.8.1.7          183734    6804.96
3.2.1.177        181687    6729.15
1.17.4.1         181380    6717.78
6.2.1.1          179935    6664.26
3.2.1.55         178794    6622.00
6.3.5.3          177126    6560.22
6.1.1.5          175116    6485.78
1.8.1.9          172558    6391.04
1.17.1.4         170013    6296.78
6.3.1.2          168537    6242.11
3.2.1.52         168345    6235.00
1.17.1.9         167902    6218.59
6.1.1.7          166489    6166.26
6.5.1.1          163664    6061.63
2.6.1.16         162043    6001.59
2.3.1.9          161340    5975.56
3.6.1.1          160832    5956.74
2.2.1.2          160454    5942.74
6.4.1.2          160177    5932.48
2.7.9.1          155343    5753.44
2.3.3.13         153881    5699.30
6.1.1.9          152443    5646.04
4.2.1.33         152411    5644.85
4.2.1.35         152290    5640.37
3.5.1.28         151115    5596.85
6.1.1.4          149038    5519.93
5.3.1.9          147185    5451.30
1.1.1.95         146500    5425.93
1.1.1.399        146500    5425.93
1.3.5.4          145814    5400.52
3.6.3.17         144544    5353.48
1.10.3.14        143627    5319.52
4.2.1.20         142641    5283.00
2.4.1.20         142641    5283.00
1.1.1.363        141110    5226.30
1.1.1.49         141110    5226.30
2.7.6.5          140986    5221.70
3.2.1.1          138992    5147.85
2.7.9.2          138727    5138.04
4.1.2.22         138322    5123.04
4.1.2.9          138322    5123.04
4.2.1.3          135985    5036.48
4.2.1.46         135433    5016.04
2.1.3.15         135035    5001.30
1.3.5.1          134994    4999.78
2.7.1.11         134904    4996.44
4.1.1.37         134156    4968.74
2.7.7.13         133718    4952.52
3.6.1.27         133677    4951.00
3.1.11.5         133545    4946.11
1.4.4.2          131579    4873.30
2.7.4.1          129688    4803.26
6.1.1.14         129171    4784.11
4.1.3.27         129163    4783.81
1.2.1.3          129082    4780.81
3.4.11.2         128240    4749.63
2.3.1.179        127419    4719.22
5.4.99.2         126977    4702.85
3.6.3.2          126290    4677.41
1.3.99.16        126288    4677.33
2.7.1.2          125222    4637.85
1.3.8.7          125205    4637.22
4.1.2.13         125087    4632.85
4.2.99.18        125027    4630.63
5.4.2.8          124342    4605.26
3.4.11.9         124313    4604.19
1.2.4.4          124284    4603.11
2.6.1.1          123443    4571.96
4.2.3.1          122278    4528.81
3.4.19.13        121876    4513.93
2.3.2.2          121876    4513.93
3.1.4.3          121448    4498.07
3.4.21.89        121065    4483.89
6.2.1.30         119737    4434.70
1.8.1.4          119657    4431.74
3.5.1.4          118059    4372.56
2.7.2.4          117216    4341.33
3.2.1.24         117092    4336.74
1.12.1.3         115196    4266.52
2.5.1.47         114899    4255.52
6.1.1.17         113494    4203.48
4.2.1.9          113254    4194.59
1.97.1.4         112916    4182.07
5.4.3.8          112079    4151.07
2.7.7.8          111933    4145.67
6.1.1.10         111424    4126.81
3.2.1.40         111261    4120.78
5.4.2.2          110588    4095.85
2.7.1.17         109536    4056.89
2.4.1.18         109282    4047.48
6.5.1.2          109266    4046.89
6.1.1.3          109121    4041.52
1.1.5.3          108932    4034.52
3.1.21.5         107837    3993.96
4.2.1.2          107542    3983.04
2.5.1.16         107469    3980.33
6.1.1.6          106777    3954.70
1.1.1.22         106772    3954.52
6.3.2.4          106427    3941.74
6.1.1.16         106211    3933.74
3.1.3.16         105965    3924.63
2.7.1.90         105279    3899.22
2.6.1.9          104770    3880.37
2.7.7.4          104500    3870.37
2.5.1.54         104196    3859.11
2.3.1.51         104066    3854.30
6.1.1.19         103936    3849.48
6.3.4.13         103927    3849.15
1.6.1.2          103825    3845.37
4.2.1.17         103496    3833.19
1.11.1.15        103224    3823.11
3.1.1.45         101684    3766.07
1.2.7.8          101354    3753.85
6.3.5.2          101316    3752.44
1.1.1.3          101198    3748.07
4.2.1.11         100562    3724.52
2.3.1.15          99881    3699.30
2.7.7.65          99801    3696.33
3.5.2.3           98528    3649.19
1.1.1.14          98492    3647.85
6.4.1.3           98490    3647.78
3.4.21.26         98363    3643.07
1.5.1.20          98135    3634.63
6.2.1.5           97894    3625.70
4.3.3.7           97142    3597.85
2.4.1.25          96867    3587.67
1.6.5.5           96429    3571.44
6.1.1.15          96238    3564.37
2.7.2.1           95484    3536.44
3.2.1.8           95090    3521.85
2.3.1.12          94629    3504.78
2.4.1.83          94495    3499.81
1.1.1.35          94370    3495.19
3.6.3.8           93777    3473.22
2.6.1.42          93344    3457.19
6.1.1.12          93342    3457.11
6.3.4.2           92495    3425.74
5.3.1.8           92241    3416.33
3.2.1.3           91959    3405.89
2.1.1.14          91871    3402.63
1.2.1.16          90746    3360.96
1.2.1.79          90746    3360.96
1.2.1.20          90746    3360.96
1.2.7.5           90536    3353.19
1.6.99.3          90377    3347.30
3.4.14.5          90334    3345.70
2.3.3.1           89740    3323.70
3.2.2.21          89436    3312.44
5.1.3.14          89260    3305.93
6.3.4.14          89042    3297.85
1.12.1.2          88980    3295.56
3.1.26.4          88906    3292.81
4.1.1.20          88540    3279.26
1.1.1.44          88505    3277.96
1.1.1.343         88505    3277.96
1.1.1.85          88412    3274.52
3.5.2.14          87880    3254.81
1.2.1.88          87326    3234.30
2.6.1.17          87135    3227.22
1.2.4.2           86535    3205.00
5.4.2.12          86174    3191.63
2.2.1.7           85825    3178.70
3.2.1.68          85501    3166.70
2.1.2.1           85471    3165.59
1.3.8.1           84868    3143.26
4.3.1.19          84733    3138.26
3.2.1.37          84569    3132.19
2.4.2.14          84427    3126.93
1.2.1.8           83693    3099.74
2.10.1.1          83325    3086.11
2.7.7.80          83226    3082.44
3.2.1.45          82611    3059.67
2.7.7.59          82569    3058.11
3.1.3.5           82347    3049.89
2.5.1.49          82268    3046.96
1.12.99.6         82155    3042.78
3.5.4.10          81356    3013.19
2.3.1.180         81246    3009.11
6.3.2.10          81144    3005.33
2.1.1.113         81095    3003.52
2.1.2.3           80820    2993.33
5.3.1.12          80451    2979.67
2.7.7.19          80280    2973.33
2.7.1.40          80196    2970.22
6.3.2.13          80171    2969.30
1.1.1.205         80005    2963.15
3.5.1.44          79740    2953.33
3.1.11.6          79710    2952.22
2.1.1.79          78658    2913.26
1.1.1.136         78449    2905.52
2.1.2.10          77907    2885.44
3.3.1.1           77612    2874.52
6.1.1.11          77475    2869.44
2.7.7.23          77365    2865.37
4.2.1.136         77127    2856.56
3.6.1.11          77123    2856.41
3.6.1.40          77070    2854.44
3.2.1.25          76902    2848.22
1.1.1.38          76678    2839.93
4.2.1.129         76431    2830.78
5.4.99.17         76431    2830.78
6.3.4.4           76284    2825.33
4.3.2.2           76238    2823.63
2.6.1.19          75665    2802.41
5.4.99.23         75557    2798.41
5.1.99.6          75328    2789.93
6.1.1.21          75226    2786.15
4.3.2.1           75168    2784.00
1.17.7.4          74888    2773.63
5.1.1.1           74799    2770.33
2.5.1.48          74718    2767.33
2.1.1.37          74362    2754.15
4.1.1.19          74253    2750.11
6.3.5.1           74188    2747.70
2.5.1.6           74130    2745.56
3.4.17.21         73706    2729.85
1.2.1.11          73468    2721.04
3.6.5.4           73399    2718.48
2.3.1.1           73388    2718.07
3.2.1.14          73368    2717.33
3.6.1.55          72940    2701.48
2.7.7.24          72921    2700.78
3.2.1.18          72755    2694.63
3.1.1.31          72684    2692.00
2.5.1.19          71952    2664.89
2.7.2.3           71642    2653.41
6.1.1.1           71558    2650.30
2.3.1.157         71548    2649.93
3.4.11.1          71518    2648.81
2.6.1.11          71487    2647.67
3.5.1.11          71324    2641.63
1.8.1.8           71035    2630.93
3.1.1.53          70706    2618.74
4.4.1.8           70637    2616.19
3.5.4.25          70523    2611.96
1.1.3.15          70516    2611.70
1.8.4.11          70477    2610.26
1.1.2.8           70418    2608.07
3.4.24.71         70351    2605.59
2.7.1.30          70178    2599.19
6.3.2.8           69485    2573.52
3.2.2.10          69385    2569.81
5.3.1.1           69234    2564.22
2.4.1.321         69149    2561.07
6.3.2.17          69146    2560.96
2.1.1.63          69113    2559.74
6.3.2.12          69053    2557.52
5.4.2.10          69036    2556.89
1.1.1.25          68908    2552.15
1.15.1.1          68587    2540.26
2.5.1.7           68266    2528.37
2.7.8.5           68076    2521.33
5.4.99.16         68036    2519.85
6.2.1.13          67976    2517.63
6.3.4.19          67966    2517.26
3.2.1.15          67914    2515.33
6.3.2.9           67854    2513.11
4.4.1.16          67775    2510.19
2.5.1.31          67753    2509.37
3.2.2.27          67745    2509.07
6.3.3.1           67629    2504.78
2.7.7.72          67362    2494.89
1.4.3.16          67315    2493.15
3.1.3.25          67184    2488.30
1.2.1.12          67174    2487.93
1.1.1.133         67171    2487.81
2.7.4.9           67091    2484.85
1.1.1.40          66972    2480.44
3.6.1.66          66860    2476.30
2.8.4.3           66765    2472.78
2.3.1.234         66709    2470.70
1.4.1.3           66375    2458.33
3.2.1.165         66281    2454.85
1.1.1.157         66231    2453.00
1.4.7.1           65744    2434.96
2.1.2.9           65475    2425.00
6.1.1.2           65286    2418.00
1.1.1.23          65167    2413.59
4.2.1.47          64909    2404.04
3.5.4.4           64883    2403.07
2.3.1.29          64742    2397.85
2.4.1.21          64644    2394.22
2.1.1.190         64558    2391.04
2.3.1.31          64495    2388.70
1.1.1.42          64191    2377.44
3.1.3.18          63882    2366.00
4.2.1.75          63759    2361.44
1.1.1.31          63738    2360.67
2.3.1.54          63642    2357.11
3.6.3.4           63455    2350.19
2.7.6.1           63388    2347.70
1.11.1.6          63130    2338.15
4.1.1.36          62809    2326.26
6.3.2.5           62784    2325.33
2.5.1.10          62734    2323.48
2.5.1.1           62734    2323.48
2.3.1.191         62401    2311.15
2.1.1.192         62323    2308.26
4.1.1.98          61838    2290.30
1.2.1.70          61776    2288.00
4.3.1.3           61746    2286.89
1.1.5.2           61722    2286.00
1.8.4.12          61719    2285.89
4.1.99.12         61660    2283.70
2.7.1.15          61504    2277.93
2.8.4.4           60992    2258.96
6.3.4.5           60708    2248.44
3.2.1.78          60624    2245.33
2.7.1.71          60516    2241.33
1.1.1.65          60512    2241.19
2.3.1.61          60490    2240.37
4.1.1.31          60403    2237.15
1.1.1.193         60253    2231.59
2.7.1.165         59804    2214.96
1.17.7.3          59740    2212.59
1.17.7.1          59740    2212.59
1.18.1.2          59419    2200.70
1.19.1.1          59363    2198.63
3.6.3.27          59252    2194.52
5.1.3.3           59169    2191.44
2.1.3.3           59103    2189.00
2.4.1.227         59096    2188.74
