# number of annotations: 339
# number of IDs: 27
# %sparse: 5.94

# the sum and mean counts per row
                                                          sum       mean
Module_name                                                             
Unclassified                                        235533197 8723451.74
Reductive citrate cycle (Arnon-Buchanan cycle) ...    1488542   55131.19
Citrate cycle (TCA cycle, Krebs cycle) [PATH:ma...    1261171   46710.04
NADH:quinone oxidoreductase, prokaryotes [PATH:...    1160282   42973.41
Citrate cycle, second carbon oxidation, 2-oxogl...     947889   35107.00
Glycolysis (Embden-Meyerhof pathway), glucose =...     940382   34828.96
Pentose phosphate pathway (Pentose phosphate cy...     876245   32453.52
Dicarboxylate-hydroxybutyrate cycle [PATH:map00...     859574   31836.07
Heme biosynthesis, plants and bacteria, glutama...     725434   26867.93
De novo purine biosynthesis, PRPP + glutamine =...     700971   25961.89
Methionine biosynthesis, aspartate => homoserin...     675804   25029.78
Gluconeogenesis, oxaloacetate => fructose-6P [P...     654785   24251.30
Pyruvate oxidation, pyruvate => acetyl-CoA [PAT...     624994   23147.93
Methanogenesis, acetate => methane [PATH:map006...     621264   23009.78
Lysine biosynthesis, succinyl-DAP pathway, aspa...     604855   22402.04
Isoleucine biosynthesis, threonine => 2-oxobuta...     604347   22383.22
De novo pyrimidine biosynthesis, glutamine (+ P...     598729   22175.15
Reductive pentose phosphate cycle (Calvin cycle...     576867   21365.44
Fatty acid biosynthesis, elongation [PATH:map00...     558307   20678.04
Leucine degradation, leucine => acetoacetate + ...     553550   20501.85
3-Hydroxypropionate bi-cycle [PATH:map00720 map...     550839   20401.44
Incomplete reductive citrate cycle, acetyl-CoA ...     544363   20161.59
Valine/isoleucine biosynthesis, pyruvate => val...     519614   19244.96
Pentose phosphate pathway, non-oxidative phase,...     494486   18314.30
Lysine biosynthesis, DAP aminotransferase pathw...     487444   18053.48
Glycolysis, core module involving three-carbon ...     486986   18036.52
Photorespiration [PATH:map00630 map01200 map011...     466504   17277.93
Pimeloyl-ACP biosynthesis, BioC-BioH pathway, m...     462774   17139.78
Threonine biosynthesis, aspartate => homoserine...     435488   16129.19
Ascorbate biosynthesis, plants, fructose-6P => ...     431608   15985.48
Lysine biosynthesis, acetyl-DAP pathway, aspart...     425246   15749.85
Methylaspartate cycle [PATH:map00020 map00250 m...     415971   15406.33
Histidine biosynthesis, PRPP => histidine [PATH...     410999   15222.19
Lysine biosynthesis, DAP dehydrogenase pathway,...     409958   15183.63
F-type ATPase, prokaryotes and chloroplasts [PA...     409148   15153.63
Galactose degradation, Leloir pathway, galactos...     408875   15143.52
Shikimate pathway, phosphoenolpyruvate + erythr...     408696   15136.89
Reductive pentose phosphate cycle, glyceraldehy...     406334   15049.41
Deoxyribonucleotide biosynthesis, ADP/GDP/CDP/U...     397006   14703.93
C5 isoprenoid biosynthesis, non-mevalonate path...     396193   14673.81
Leucine biosynthesis, 2-oxoisovalerate => 2-oxo...     394704   14618.67
Trehalose biosynthesis, D-glucose 1P => trehalo...     390402   14459.33
Formaldehyde assimilation, serine pathway [PATH...     387515   14352.41
Glucuronate pathway (uronate pathway) [PATH:map...     383458   14202.15
Ethylmalonyl pathway [PATH:map00630 map01200 ma...     368924   13663.85
Tryptophan biosynthesis, chorismate => tryptoph...     365748   13546.22
Glyoxylate cycle [PATH:map00630 map01200 map011...     363661   13468.93
beta-Oxidation, acyl-CoA synthesis [PATH:map000...     357476   13239.85
Methanogenesis, CO2 => methane [PATH:map00680 m...     355649   13172.19
Reductive acetyl-CoA pathway (Wood-Ljungdahl pa...     337906   12515.04
KDO2-lipid A biosynthesis, Raetz pathway, LpxL-...     332468   12313.63
Arginine biosynthesis, glutamate => acetylcitru...     329364   12198.67
Guanine ribonucleotide biosynthesis, IMP => GDP...     325849   12068.48
beta-Oxidation [PATH:map00071 map01212 map01100]       324035   12001.30
Methionine salvage pathway [PATH:map00270 map01...     320573   11873.07
Fatty acid biosynthesis, initiation [PATH:map00...     319280   11825.19
Adenine ribonucleotide biosynthesis, IMP => ADP...     317898   11774.00
Citrate cycle, first carbon oxidation, oxaloace...     313282   11603.04
dTDP-L-rhamnose biosynthesis [PATH:map00521 map...     310799   11511.07
Pentose phosphate pathway, oxidative phase, glu...     302511   11204.11
Ornithine biosynthesis, glutamate => ornithine ...     293895   10885.00
Hydroxypropionate-hydroxybutylate cycle [PATH:m...     293377   10865.81
C4-dicarboxylic acid cycle, NADP - malic enzyme...     282718   10471.04
NAD biosynthesis, aspartate => quinolinate => N...     280053   10372.33
Ascorbate biosynthesis, animals, glucose-1P => ...     279847   10364.70
Nucleotide sugar biosynthesis, glucose => UDP-g...     279482   10351.19
Methanogenesis, methylamine/dimethylamine/trime...     279398   10348.07
Lysine degradation, lysine => saccharopine => a...     277969   10295.15
Tetrahydrofolate biosynthesis, GTP => THF [PATH...     275616   10208.00
Cytochrome c oxidase, prokaryotes [PATH:map00190]      256699    9507.37
Methanogenesis, methanol => methane [PATH:map00...     255667    9469.15
Isoleucine biosynthesis, pyruvate => 2-oxobutan...     253936    9405.04
Entner-Doudoroff pathway, glucose-6P => glycera...     252660    9357.78
Riboflavin biosynthesis, plants and bacteria, G...     252023    9334.19
Propanoyl-CoA metabolism, propanoyl-CoA => succ...     248796    9214.67
Pantothenate biosynthesis, valine/L-aspartate =...     248121    9189.67
Methionine degradation [PATH:map00270 map01100]        246179    9117.74
Ubiquinone biosynthesis, prokaryotes, chorismat...     243004    9000.15
Purine degradation, xanthine => urea [PATH:map0...     231353    8568.63
Semi-phosphorylative Entner-Doudoroff pathway, ...     228360    8457.78
D-Glucuronate degradation, D-glucuronate => pyr...     227921    8441.52
CAM (Crassulacean acid metabolism), light [PATH...     222315    8233.89
C4-dicarboxylic acid cycle, NAD - malic enzyme ...     220996    8185.04
