# number of annotations: 421
# number of IDs: 27
# %sparse: 3.91

# the sum and mean counts per row
                                                          sum       mean
Pathway_name                                                            
Unclassified                                        191433588 7090132.89
Two-component system [PATH:ko02020]                   5475740  202805.19
Purine metabolism [PATH:ko00230]                      4453508  164944.74
Quorum sensing [PATH:ko02024]                         4367256  161750.22
ABC transporters [PATH:ko02010]                       3668026  135852.81
Oxidative phosphorylation [PATH:ko00190]              3242036  120075.41
Pyrimidine metabolism [PATH:ko00240]                  3190483  118166.04
Pyruvate metabolism [PATH:ko00620]                    3187959  118072.56
Amino sugar and nucleotide sugar metabolism [PA...    3065386  113532.81
Starch and sucrose metabolism [PATH:ko00500]          3060993  113370.11
Glycolysis / Gluconeogenesis [PATH:ko00010]           2938599  108837.00
Methane metabolism [PATH:ko00680]                     2788773  103287.89
Carbon fixation pathways in prokaryotes [PATH:k...    2672665   98987.59
Aminoacyl-tRNA biosynthesis [PATH:ko00970]            2543230   94193.70
Glyoxylate and dicarboxylate metabolism [PATH:k...    2337021   86556.33
Alanine, aspartate and glutamate metabolism [PA...    2305494   85388.67
Propanoate metabolism [PATH:ko00640]                  2060429   76312.19
Glycine, serine and threonine metabolism [PATH:...    2045442   75757.11
Pentose phosphate pathway [PATH:ko00030]              2030224   75193.48
Butanoate metabolism [PATH:ko00650]                   2016187   74673.59
Cysteine and methionine metabolism [PATH:ko00270]     1982264   73417.19
Galactose metabolism [PATH:ko00052]                   1925159   71302.19
Citrate cycle (TCA cycle) [PATH:ko00020]              1915548   70946.22
Bacterial secretion system [PATH:ko03070]             1595748   59101.78
Homologous recombination [PATH:ko03440]               1587926   58812.07
Valine, leucine and isoleucine degradation [PAT...    1544395   57199.81
Mismatch repair [PATH:ko03430]                        1541780   57102.96
DNA replication [PATH:ko03030]                        1470180   54451.11
Fructose and mannose metabolism [PATH:ko00051]        1433385   53088.33
Peptidoglycan biosynthesis [PATH:ko00550]             1364945   50553.52
RNA degradation [PATH:ko03018]                        1353628   50134.37
Ribosome [PATH:ko03010]                               1343328   49752.89
Arginine and proline metabolism [PATH:ko00330]        1336342   49494.15
Fatty acid degradation [PATH:ko00071]                 1329199   49229.59
Pentose and glucuronate interconversions [PATH:...    1309724   48508.30
Porphyrin metabolism [PATH:ko00860]                   1307739   48434.78
Nucleotide excision repair [PATH:ko03420]             1277877   47328.78
Carbon fixation in photosynthetic organisms [PA...    1233121   45671.15
Biofilm formation - Vibrio cholerae [PATH:ko05111]    1218637   45134.70
Phenylalanine, tyrosine and tryptophan biosynth...    1174569   43502.56
Fatty acid biosynthesis [PATH:ko00061]                1161778   43028.81
Cell cycle - Caulobacter [PATH:ko04112]               1129362   41828.22
Other glycan degradation [PATH:ko00511]               1128600   41800.00
Bacterial chemotaxis [PATH:ko02030]                   1061633   39319.74
Arginine biosynthesis [PATH:ko00220]                  1045395   38718.33
Valine, leucine and isoleucine biosynthesis [PA...    1037841   38438.56
Pantothenate and CoA biosynthesis [PATH:ko00770]      1028775   38102.78
Nitrogen metabolism [PATH:ko00910]                    1013317   37530.26
Lysine biosynthesis [PATH:ko00300]                    1000683   37062.33
Selenocompound metabolism [PATH:ko00450]               996180   36895.56
Phenylalanine metabolism [PATH:ko00360]                993184   36784.59
beta-Lactam resistance [PATH:ko01501]                  961365   35606.11
Glycerophospholipid metabolism [PATH:ko00564]          951352   35235.26
Sphingolipid metabolism [PATH:ko00600]                 940245   34823.89
Protein export [PATH:ko03060]                          931174   34487.93
Nicotinate and nicotinamide metabolism [PATH:ko...     929265   34417.22
Tryptophan metabolism [PATH:ko00380]                   927515   34352.41
Sulfur metabolism [PATH:ko00920]                       923961   34220.78
Glutathione metabolism [PATH:ko00480]                  920121   34078.56
Cationic antimicrobial peptide (CAMP) resistanc...     888506   32907.63
Biofilm formation - Pseudomonas aeruginosa [PAT...     882732   32693.78
One carbon pool by folate [PATH:ko00670]               874646   32394.30
Base excision repair [PATH:ko03410]                    849447   31461.00
Folate biosynthesis [PATH:ko00790]                     847027   31371.37
Benzoate degradation [PATH:ko00362]                    838643   31060.85
Terpenoid backbone biosynthesis [PATH:ko00900]         834403   30903.81
Glycerolipid metabolism [PATH:ko00561]                 832659   30839.22
Biofilm formation - Escherichia coli [PATH:ko02...     830647   30764.70
beta-Alanine metabolism [PATH:ko00410]                 821964   30443.11
Histidine metabolism [PATH:ko00340]                    813234   30119.78
Tyrosine metabolism [PATH:ko00350]                     791809   29326.26
Cyanoamino acid metabolism [PATH:ko00460]              778084   28817.93
Lipopolysaccharide biosynthesis [PATH:ko00540]         751108   27818.81
Lysine degradation [PATH:ko00310]                      736809   27289.22
Streptomycin biosynthesis [PATH:ko00521]               690635   25579.07
Peroxisome [PATH:ko04146]                              666561   24687.44
PPAR signaling pathway [PATH:ko03320]                  660140   24449.63
Flagellar assembly [PATH:ko02040]                      656939   24331.07
C5-Branched dibasic acid metabolism [PATH:ko00660]     651943   24146.04
Biotin metabolism [PATH:ko00780]                       609932   22590.07
Phenylpropanoid biosynthesis [PATH:ko00940]            609735   22582.78
Drug metabolism - other enzymes [PATH:ko00983]         599230   22193.70
Thiamine metabolism [PATH:ko00730]                     593877   21995.44
Thermogenesis [PATH:ko04714]                           592510   21944.81
Ubiquinone and other terpenoid-quinone biosynth...     582407   21570.63
Necroptosis [PATH:ko04217]                             553590   20503.33
Glucagon signaling pathway [PATH:ko04922]              521707   19322.48
Chloroalkane and chloroalkene degradation [PATH...     519566   19243.19
Inositol phosphate metabolism [PATH:ko00562]           500190   18525.56
Longevity regulating pathway - worm [PATH:ko04212]     487991   18073.74
Sulfur relay system [PATH:ko04122]                     479292   17751.56
Tuberculosis [PATH:ko05152]                            470913   17441.22
Photosynthesis [PATH:ko00195]                          463048   17149.93
Legionellosis [PATH:ko05134]                           462669   17135.89
RNA polymerase [PATH:ko03020]                          457303   16937.15
Monobactam biosynthesis [PATH:ko00261]                 455381   16865.96
Longevity regulating pathway - multiple species...     452948   16775.85
Insulin resistance [PATH:ko04931]                      447563   16576.41
Taurine and hypotaurine metabolism [PATH:ko00430]      445126   16486.15
Aminobenzoate degradation [PATH:ko00627]               442822   16400.81
Ascorbate and aldarate metabolism [PATH:ko00053]       439650   16283.33
Vancomycin resistance [PATH:ko01502]                   419845   15549.81
Adipocytokine signaling pathway [PATH:ko04920]         412284   15269.78
